(0) Глубина манометра,(1) Dшт,(2) Руст,(3) Рзаб,(4) Pлин,(5) Руст,(6) Рзаб,(7) Рлин,(8) Туст,(9) Тна шлейфе,(10) Тзаб,(11) Tлин,(12) Дебит газа,(13) Дебит ст. конд.,(14) Дебит воды,(15) Дебит смеси,(16) Дебит гааз,(17) Дебит кон нестабильный,(18) Дебит воды,(19) Нэф,(20) Рпл. Тек (послед точка на КВД),(21) Рпл. Тек (Расчет по КВД),(22) Рпл. Тек (Карноухов),(23) Pсб,(24) Pсб,(26) Ro_c,(28) Удельная плотность газа ,(29) G_total,(30) КГФ
0.7621827411167518,0.052505966587112214,0.5601407388791153,0.6338436077782376,0.5890014471780027,0.5736040609137056,0.5908150599917253,0.5724921630094043,0.42105263157894735,0.18399168399168397,0.4679186228482017,0.4146527601119308,0.0767523040296785,0.14851100225487907,0.008739076154806492,0.08168361223391782,0.07659953940191509,0.12638956017399713,0.012820512820512825,0.629995298542548,0.5541967759866592,0.9876543209876542,,0.529411764705882,0.529801324503311,1.0,0.5016286644951138,0.0,0.709928182463894
0.7621827411167518,0.2422434367541765,0.47921588338778587,0.6110881257757551,0.5786644614430431,0.48223350253807107,0.5018618121638395,0.5842476489028214,0.5736842105263157,0.24532224532224534,0.43661971830986007,0.5698295599084203,0.18759402339813333,0.23054194852655313,0.13358302122347065,0.1889442244816312,0.1977853197347232,0.19212179797003381,0.14102564102564102,0.629995298542548,0.5541967759866592,0.9876543209876542,,0.4836601307189547,0.48410596026490055,1.0,0.5016286644951138,0.11288343558282213,0.6179464919895825
0.7621827411167518,0.4307875894988066,0.3781854737371199,0.5800579230450973,0.5848666528840188,0.38071065989847713,0.4054613156805958,0.5489811912225704,0.7000000000000001,0.29937629937629934,0.3740219092331769,0.6919358941745103,0.30071421268640364,0.2678640852188788,0.19600499375780273,0.2980810352201085,0.3240619210056968,0.22547124214596426,0.20512820512820512,0.629995298542548,0.5541967759866592,0.9876543209876542,,0.3856209150326802,0.38543046357615923,1.0,0.5016286644951138,0.21349693251533738,0.460855496803725
0.7621827411167518,0.620525059665871,0.26861020356873583,0.5399255275134462,0.518709944180277,0.25888324873096447,0.30906081919735207,0.5176332288401254,0.7289473684210527,0.33471933471933474,0.2801251956181543,0.760620707199186,0.3980165627236478,0.2950781432236996,0.37078651685393255,0.39064935781588417,0.4599193087565583,0.24770420492991782,0.38461538461538464,0.629995298542548,0.5541967759866592,0.9876543209876542,,0.24183006535947735,0.241721854304636,1.0,0.5016286644951138,0.29938650306748466,0.36129745087207005
0.7621827411167518,0.8102625298329353,0.16959034933400355,0.49979313198179554,0.5352491213562125,0.16751269035532995,0.2213487794786926,0.5274294670846394,0.7105263157894737,0.36798336798336795,0.6557120500782491,0.8572882218265073,0.46902887522456066,0.3281237850866962,0.533083645443196,0.4587719177231779,0.5421724299146335,0.2696955050749154,0.5641025641025642,0.629995298542548,0.5541967759866592,0.9876543209876542,,0.2745098039215689,0.27483443708609295,1.0,0.5016286644951138,0.3668711656441717,0.32811143556151845
0.7621827411167518,0.2422434367541765,0.30831867303342547,0.28754654530409585,0.6832747570808351,0.3223350253807107,0.28878775341332236,0.6585031347962381,0.5394736842105263,0.25779625779625776,0.3802816901408461,0.5794963113711523,0.13079293674324854,0.12207448876448175,0.033707865168539325,0.13362396015837322,0.13038735259995496,0.09666505558240696,0.038461538461538464,0.629995298542548,0.3301834352418008,0.48148148148148123,,0.33986928104575187,0.3397350993377488,0.4954954954954945,0.6840390879478845,0.036809815950920276,0.43062899534369814
0.7690355329949239,0.052505966587112214,0.610454888162855,0.6163011998345056,0.6235269795327681,0.6243654822335025,0.6168804302854778,0.5650470219435737,0.39473684210526316,0.1372141372141372,0.8904538341158077,0.30246756550496057,0.11902084215753571,0.09847601275173004,0.10112359550561796,0.11809014030101948,0.0945091859881214,0.09255679072015466,0.11538461538461538,0.7656323460272684,0.33073929961089465,0.48148148148148123,,0.5032679738562095,0.5033112582781459,0.6711711711711739,0.19543973941368128,,0.38670980980190983
0.7690355329949239,0.2422434367541765,0.5089721035436038,0.5187008688456763,0.61794500723589,0.5228426395939086,0.5192387256930079,0.6191222570532916,0.5526315789473685,0.21413721413721415,0.8591549295774661,0.48079369117272963,0.22156659412563717,0.1328823575149677,0.16604244694132334,0.21493509180956583,0.2052778306869145,0.1225229579507008,0.1794871794871795,0.7656323460272684,0.33073929961089465,0.48148148148148123,,0.42483660130718964,0.42516556291390717,0.6711711711711739,0.19543973941368128,,0.27227527424828346
0.7690355329949239,0.4307875894988066,0.37833626539331494,0.39458005792304496,0.6177382675211907,0.38578680203045684,0.3951179147703765,0.5960031347962382,0.631578947368421,0.28274428274428276,0.7809076682316133,0.6336809972017298,0.3400908466852644,0.15589767514190186,0.282147315855181,0.32830714472939976,0.33202888261675123,0.14668922184630254,0.30769230769230776,0.7656323460272684,0.33073929961089465,0.48148148148148123,,0.535947712418301,0.5357615894039734,0.6711711711711739,0.19543973941368128,,0.1578407386946571
0.7690355329949239,0.620525059665871,0.281879869313898,0.30964004964832437,0.6185652263799876,0.29441624365482233,0.30988829127016954,0.6140282131661442,0.6578947368421053,0.3087318087318088,0.6713615023474188,0.7107606207071991,0.3985715746271926,0.1586579581681051,0.35330836454431963,0.3829790169271732,0.40975913836989836,0.14185596906718217,0.37179487179487186,0.7656323460272684,0.33073929961089465,0.48148148148148123,,0.26797385620915,0.2682119205298019,0.6711711711711739,0.19543973941368128,,0.09865046168416068
